,Date,Description,Location,Reference,Link,SourceID,Ref2,Ref3,Country,City,Original_Location,ApproximateLatLons
0,01/01/0066,"Under the reign of Nero, Simon the Magician attempts a flight in the presence of the Emperor. He kills himself. Saint Peter witnesses the experience and prays for the magician to fail.","ITALY, ROME","""The Conquest of the Air, Chronology..."" A. Van Hoorebeeck - Ed. Marabout University 1967, p. 14","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_0,,,ITALY,ROME,"ITALY, ROME","(41.9028, 12.4964)"
1,05/21/0070,"Flavius Josephus described an incredible size demonic ghost. Before dawn, chariots and armed soldiers appeared over the entire country.","PALESTINE, Jerusalem","Christiane PIENS: ""Les Ovni du passé"" - Marabout 1977 - p. 38","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_1,,,PALESTINE,JERUSALEM,"PALESTINE, Jerusalem","(31.7767, 35.2345)"
2,01/01/0080,"When Emperor Agricola was in Caledonia, flames appeared above the forest, and on clear days it was possible to make out a vessel in the sky.","SCOTLAND, Caledonia","Christiane PIENS: ""Les Ovni du passé"" - Marabout 1977 - p. 38","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_2,,,SCOTLAND,CALEDONIA,"SCOTLAND, Caledonia","(56.4907, -4.2026)"
3,01/01/0180,"Under the reign of Emperor Commodus, ""great prodigies happened at that time... one often saw stars suspended in the air during the day..."" [IN REALITY: it was the Haley's comet...] (Between 180 and 192)",ROME ANTIQUE,"Yves Naud: ""The E.T. and the UFO in History"" Famot 1977, Volume 2 p. 113","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_3,,,ROME ANTIQUE,,ROME ANTIQUE,
4,01/01/0200,There was in the village of Notorita a man called Hashiro-Kima-Washi. He was a large individual who had wings on his body so that he could fly and rise very high in the sky. He refused to obey imperial orders and robbed people.,"JAPAN, Notorita","Yves NAUD: ""Les Ovnis et les E.T. dans l'histoire, tome 1"" - ed. Famot 1977, tome 2 p. 237",Book 1 of Nihongi,Overmeire_4,"[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",,JAPAN,NOTORITA,"JAPAN, Notorita","(36.2048, 138.2529)"
5,01/01/0235,"A red meteor emitting pointed rays fell from the northwest to the southwest in the Liang camp. The meteor moved three times back and forth above the camp, each time with a greater magnitude when moving forward and when withdrawing.",CHINA,"Christiane PIENS: ""Les Ovni du passé"" - Marabout 1977 - p. 39","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_5,,,CHINA,BEIJING,CHINA,"(35.8617, 104.1954)"
6,01/01/0314,".. the sun fell to the ground and three other suns rose together above the horizon. And another day, the sun quickly lowered to the ground and three other suns flew side by side, after rising in the west, heading east.",CHINA,"SHI BO: ""China and the Extraterrestrials"" ed. Mercure de France, 1983, p. 47","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_6,,,CHINA,BEIJING,CHINA,"(35.8617, 104.1954)"
7,01/01/0317,Three suns shone at the same time in the sky tinted with multicolored colors. The suns were surrounded by an aureole and suspended at ten meters above the ground. The center of the suns had a greenish color.,CHINA,"SHI BO: ""China and the Extraterrestrials"" ed. Mercure de France, 1983, p.47","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_7,,,CHINA,BEIJING,CHINA,"(35.8617, 104.1954)"
8,01/01/0394,"""...one night, there appeared something resembling a woman dressed and moving high in the sky. It had colossal dimensions and an aspect so horrible that the witnesses who contemplated it were terrified. It went back and forth in the sky, above the streets of the city. It constantly emitted a sound similar to the whistling of a whip and the air reverberated with it. This sound was like that usually made by a tamer when he excites wild beasts to enrage them before presenting them to the spectators of an amphitheater...""","TURKEY, Antioch","Michel BOUGARD: ""La chronique des Ovni"" - Delarge 1977 - p. 54","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_8,,,TURKEY,ANTIOCH,"TURKEY, Antioch","(38.9637, 35.2433)"
9,01/01/0436,"The author cites J. Obsequens: ""Earthquakes follow one another at a frightening rate.... Suddenly, and in the midst of all the spectators, a child was taken up by an unknown force high enough in the sky that it was lost to sight; after which, having descended as he had ascended, he declared to the Patriarch Procus, to the Emperor himself and to the assembled multitude that he had just attended a great concert of angels praising God...""",BYZANCE,"Yves Naud: ""ETs and UFOs in History"" Famot 1977, Volume 2 pp. 110-111","[_Mini catalogue chronologique des observations OVNI_, by Godelieve Van Overmeire](https://web.archive.org/web/20060107070423/http://users.skynet.be/sky84985/chrono.html)",Overmeire_9,,,BYZANCE,,BYZANCE,"(41.0082, 28.9784)"
